rank,feature,importance
1,ratio_ch2,0.3394500565310759
2,ratio_ch0,0.21289661800293133
3,total_tumour_voxels,0.07632891028879232
4,age,0.04759321070729355
5,t2_min,0.043383787805261316
6,flair_max,0.02866020182955673
7,flair_skewness,0.027149949285142028
8,t1_std,0.025299093985726474
9,t1ce_min,0.023520507694241872
10,t1ce_max,0.023325209295283904
11,t1_min,0.02305900562609923
12,centroid_slice,0.022072393056083522
13,centroid_y,0.015800234481692054
14,flair_min,0.012303374077126715
15,t1_mean,0.011202987131705594
16,flair_std,0.010703477423379397
17,t1ce_mean,0.00979596418836741
18,t1ce_skewness,0.009211524156512847
19,t1ce_std,0.007645809836907324
20,t2_std,0.007237521085862431
21,centroid_x,0.005945023724038831
22,ratio_ch1,0.005570266586455141
23,flair_mean,0.004103622943775192
24,spread_slice,0.003984969542567164
25,t2_skewness,0.0037397006751254073
26,t2_mean,1.6580038996380598e-05
