rank,feature,importance
1,ratio_ch2,0.26190742794633554
2,ratio_ch0,0.16247635196600216
3,t1ce_skewness,0.07404918491353688
4,age,0.05878681342837226
5,t2_min,0.03998468085229655
6,t1ce_mean,0.03957816131836989
7,centroid_x,0.03541057220166645
8,t1ce_min,0.032704741670425225
9,t1ce_max,0.030293924553840952
10,ratio_ch1,0.029159858289195744
11,flair_max,0.026560667025356303
12,t1ce_std,0.023181320090701805
13,t2_mean,0.02011520537140796
14,t2_skewness,0.019311366499921958
15,t1_mean,0.017154909189610833
16,centroid_slice,0.01655457771036323
17,centroid_y,0.01584870791346519
18,flair_mean,0.01539410906253151
19,total_tumour_voxels,0.013608669206199292
20,t2_std,0.013530200092544487
21,flair_skewness,0.011957123515340172
22,spread_slice,0.01105725880502699
23,t1_std,0.008582898438618678
24,flair_min,0.008177659139968579
25,flair_std,0.007826546363196633
26,t1_min,0.006787064435704833
